e_number;Samples_name;Sample_or_Control;Sample_type;Sampling_time;Cross_conditions;Washing;Medium
e4048518470;GEM123;True sample;Cultivated sponge;09. T5;G+EM_F+PB;G+EM;F+PB
e4048518471;GEM135;True sample;Cultivated sponge;10. T6;G+EM_F-PB;G+EM;F-PB
e4048518473;GEM016;True sample;Cultivated sponge;05. T1;G+EM_F-PB;G+EM;F-PB
e4048518474;GEM028;True sample;Cultivated sponge;05. T1;G-EM_F-PB;G-EM;F-PB
e4048518484;GEM007;True sample;Gemmule;04. T0;G-EM;G-EM;NA
e4048518486;GEM031;True sample;Cultivated sponge;05. T1;G+EM_F+PB;G+EM;F+PB
e4048518488;GEM055;True sample;Cultivated sponge;06. T2;G+EM_F+PB;G+EM;F+PB
e4048518489;GEM067;True sample;Cultivated sponge;07. T3;G-EM_F-PB;G-EM;F-PB
e4048518491;GEM091;True sample;Cultivated sponge;08. T4;G-EM_F-PB;G-EM;F-PB
e4048518492;GEM103;True sample;Cultivated sponge;08. T4;G-EM_F+PB;G-EM;F+PB
e4048518493;GEM115;True sample;Cultivated sponge;09. T5;G-EM_F-PB;G-EM;F-PB
e4048518494;GEM127;True sample;Cultivated sponge;09. T5;G-EM_F+PB;G-EM;F+PB
e4048518495;GEM139;True sample;Cultivated sponge;10. T6;G-EM_F-PB;G-EM;F-PB
