;Kingdom;Phylum;Class;Order;Family;Genus
ASV_6360;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
ASV_6361;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Terrimonas
ASV_6362;Bacteria;Proteobacteria;NA;NA;NA;NA
ASV_6363;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Aquincola
ASV_6364;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;Enhygromyxa
ASV_6365;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;NA
ASV_6366;Bacteria;Myxococcota;Polyangia;mle1-27;NA;NA
ASV_6367;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;Rheinheimera
ASV_6368;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;NS11-12 marine group;NA
ASV_6369;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Afipia
ASV_6370;Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Parviterribacter
ASV_6371;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;NA
ASV_6372;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_6373;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;NA;NA
ASV_6374;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax
ASV_6375;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
ASV_6376;Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Calothrix KVSF5
ASV_6377;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;NA
